epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
57,439.627,0.07722,0.95804,1,0.23155,0.0002785,0.0002785,0.0002785
58,448.028,0.07047,0.95804,1,0.24142,0.000272313,0.000272313,0.000272313
59,457.076,0.08392,0.96503,1,0.1652,0.000266125,0.000266125,0.000266125
60,464.623,0.07939,0.97203,1,0.13493,0.000259938,0.000259938,0.000259938
61,471.325,0.07052,0.97203,1,0.15089,0.00025375,0.00025375,0.00025375
62,477.992,0.04572,0.95804,0.99301,0.15822,0.000247563,0.000247563,0.000247563
63,484.712,0.05795,0.96503,0.99301,0.16706,0.000241375,0.000241375,0.000241375
64,491.407,0.0594,0.96503,1,0.18338,0.000235188,0.000235188,0.000235188
65,498.625,0.0617,0.95804,1,0.2117,0.000229,0.000229,0.000229
66,505.294,0.04538,0.95804,1,0.20934,0.000222813,0.000222813,0.000222813
67,512.142,0.05731,0.97203,1,0.204,0.000216625,0.000216625,0.000216625
68,518.745,0.06583,0.96503,0.99301,0.22359,0.000210437,0.000210437,0.000210437
69,525.591,0.05744,0.95804,0.99301,0.26099,0.00020425,0.00020425,0.00020425
70,532.203,0.065,0.95105,0.99301,0.24901,0.000198063,0.000198063,0.000198063
71,539.044,0.07663,0.95804,0.99301,0.26184,0.000191875,0.000191875,0.000191875
72,545.693,0.0642,0.95804,0.99301,0.23541,0.000185688,0.000185688,0.000185688
73,552.573,0.02221,0.95804,0.99301,0.27548,0.0001795,0.0001795,0.0001795
74,559.445,0.0851,0.95804,0.99301,0.23905,0.000173313,0.000173313,0.000173313
75,566.28,0.05525,0.95804,0.99301,0.21896,0.000167125,0.000167125,0.000167125
76,572.794,0.0657,0.95105,1,0.18401,0.000160938,0.000160938,0.000160938
77,579.506,0.0291,0.96503,1,0.16105,0.00015475,0.00015475,0.00015475
78,586.357,0.05457,0.95804,0.99301,0.15676,0.000148563,0.000148563,0.000148563
79,593.29,0.04078,0.97203,0.99301,0.14458,0.000142375,0.000142375,0.000142375
80,599.915,0.03306,0.98601,1,0.125,0.000136187,0.000136187,0.000136187
81,607.784,0.05123,0.97203,0.99301,0.14025,0.00013,0.00013,0.00013
82,616.488,0.03098,0.96503,0.99301,0.17755,0.000123812,0.000123812,0.000123812
83,624.437,0.05462,0.97203,0.99301,0.16953,0.000117625,0.000117625,0.000117625
84,632.824,0.04831,0.96503,0.99301,0.20764,0.000111438,0.000111438,0.000111438
85,640.771,0.04109,0.95105,0.99301,0.17583,0.00010525,0.00010525,0.00010525
86,650.278,0.03029,0.96503,0.99301,0.17271,9.90625e-05,9.90625e-05,9.90625e-05
87,660.997,0.0449,0.95804,0.99301,0.15707,9.2875e-05,9.2875e-05,9.2875e-05
88,671.102,0.04685,0.95804,0.99301,0.15829,8.66875e-05,8.66875e-05,8.66875e-05
89,680.375,0.03946,0.96503,0.99301,0.16824,8.05e-05,8.05e-05,8.05e-05
90,688.562,0.02197,0.95105,0.99301,0.17303,7.43125e-05,7.43125e-05,7.43125e-05
91,695.857,0.02563,0.95804,0.99301,0.13514,6.8125e-05,6.8125e-05,6.8125e-05
92,702.678,0.04239,0.95804,0.99301,0.17029,6.19375e-05,6.19375e-05,6.19375e-05
93,709.87,0.0315,0.96503,1,0.1329,5.575e-05,5.575e-05,5.575e-05
94,716.757,0.03104,0.96503,0.99301,0.1443,4.95625e-05,4.95625e-05,4.95625e-05
95,723.768,0.0334,0.96503,0.99301,0.16949,4.3375e-05,4.3375e-05,4.3375e-05
96,730.782,0.01736,0.95804,0.99301,0.14455,3.71875e-05,3.71875e-05,3.71875e-05
97,737.987,0.01585,0.96503,0.99301,0.14741,3.1e-05,3.1e-05,3.1e-05
98,744.992,0.03684,0.95804,0.99301,0.1545,2.48125e-05,2.48125e-05,2.48125e-05
99,752.03,0.03175,0.96503,0.99301,0.14688,1.8625e-05,1.8625e-05,1.8625e-05
100,759.366,0.02597,0.96503,0.99301,0.14658,1.24375e-05,1.24375e-05,1.24375e-05
